DataSetSize,Structure memory,Decision Stats Memory,Leaf Stats memory,Total Memory Usage,ScikitLearn RF MemUsage,Memory Overhead Factor
10,0.13,1.19,0.07,1.39,0.34,4.09
110,1.45,15.18,0.76,17.39,2.19,7.94
210,2.79,29.97,1.44,34.2,4.15,8.24
310,4.28,46.7,2.17,53.15,6.2,8.57
410,5.43,59.34,2.81,67.58,8.05,8.4
510,6.53,71.95,3.4,81.88,9.66,8.48
610,6.53,71.95,3.4,81.88,9.66,8.48
710,6.53,71.95,3.4,81.88,9.66,8.48
810,6.53,71.95,3.4,81.88,9.66,8.48
910,6.53,71.95,3.4,81.88,9.66,8.48
