DataSetSize,Structure memory,Decision Stats Memory,Leaf Stats memory,Total Memory Usage,ScikitLearn RF MemUsage,Memory Overhead Factor
10,0.15,1.6,0.08,1.83,0.36,5.08
110,1.16,14.77,0.67,16.6,2.13,7.79
210,2.1,28.33,1.25,31.68,3.67,8.63
310,3.06,42.47,1.83,47.36,5.24,9.04
410,3.88,54.42,2.37,60.67,6.64,9.14
510,4.56,64.33,2.86,71.75,7.83,9.16
610,5.4,77.31,3.41,86.12,9.2,9.36
710,6.3,91.17,3.97,101.44,10.7,9.48
810,7.27,106.31,4.55,118.13,12.24,9.65
910,8.19,121.01,5.12,134.32,13.74,9.78
