100,5.676794528961182
131,6.475776195526123
162,7.492663621902466
193,8.337182760238647
224,9.02034878730774
255,9.508007287979126
286,9.97643232345581
317,10.506140947341919
348,10.999306440353394
379,11.280267715454102
410,11.73433542251587
441,11.919081926345825
472,12.098251581192017
503,12.22147274017334
534,12.635760068893433
565,12.836207389831543
596,13.097423553466797
627,13.232703447341919
658,13.414801359176636
689,13.549678564071655
720,13.749653100967407
751,13.825068712234497
782,13.994775295257568
813,14.12627124786377
844,14.101975679397583
875,14.310267925262451
906,14.325509548187256
937,14.470200777053833
968,14.535452842712402
999,14.581789493560791
1030,14.719846487045288
1061,14.935046672821045
1092,14.836182594299316
1123,14.867536544799805
1154,14.941287755966187
1185,15.123084545135498
1216,15.00322699546814
1247,15.114849328994751
1278,15.219091892242432
1309,15.377390623092651
1340,15.361202716827393
1371,15.383052825927734
1402,15.373383522033691
1433,15.54725432395935
1464,15.395162343978882
1495,15.622100830078125
1526,15.489384651184082
1557,15.569259881973267
1588,15.541805982589722
1619,15.738656759262085
1650,15.62437629699707
1681,15.886744499206543
1712,15.70432186126709
1743,15.840637445449829
1774,15.737909317016602
1805,15.758092641830444
1836,15.725375890731812
1867,15.917916774749756
1898,15.821645259857178
1929,15.936538934707642
1960,15.779451131820679
1991,15.867958545684814
2022,15.750339269638062
2053,16.068694591522217
2084,16.087818145751953
2115,15.994480848312378
2146,16.049544095993042
2177,16.004213571548462
2208,16.17654061317444
2239,16.036856412887573
2270,16.11962366104126
2301,15.990014791488647
2332,16.09293556213379
2363,16.134660959243774
2394,16.08067536354065
2425,16.244399070739746
2456,16.15749716758728
2487,16.10459876060486
2518,16.107972145080566
2549,16.119338512420654
2580,16.261261463165283
2611,16.214043617248535
2642,16.234142541885376
2673,16.203099966049194
2704,16.187340259552002
2735,16.24779725074768
2766,16.133639335632324
2797,16.1632239818573
2828,16.17225956916809
2859,16.15073585510254
2890,16.160709857940674
2921,16.323609590530396
2952,16.27203893661499
2983,16.301237106323242
3014,16.202171087265015
3045,16.318199634552002
3076,16.266687631607056
3107,16.158360242843628
3138,16.240696907043457
3169,16.20847511291504
3200,16.250295877456665
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
